再生,さいせい,reproduction
冷房,れいぼう,cooling
増減,ぞうげん,increase/decrease
戻す,もどす,to return
続く,つづく,to continue
袋,ふくろ,bag
粉,こな,powder
干す,ほす,to dry
混ぜる,まぜる,to mix
SKIP,そっくり,alike
発生,はっせい,appearance (non-living)
SKIP,だぶだぶ,loose-fit
SKIP,ぐうぐう,snore
SKIP,ざあざあ,heavy rain
吠える,ほえる,to howl
追い越す,おいこす,to pass (in traffic)
与える,あたえる,to give
非常,ひじょう,emergency
非常に,ひじょうに,very
随分,ずいぶん,quite
不安,ふあん,uneasy
予定,よてい,plan
対する,たいする,to oppose
招待,しょうたい,invite
SKIP,せっかく,after great lengths
SKIP,つい,accidentally
SKIP,それほど,not much
SKIP,げか,injury
SKIP,よろしい,OK
息子,むすこ,son
楽器,がっき,musical instrument
欲しい,ほしい,want
田舎,いなか,country
砂糖,さとう,sugar
定価,ていか,market price
砂,すな,sand
お求める,おもとめる,to buy
塩,しお,salt
振り込む,ふりこむ,to transfer
しょう油,しょうゆ,soy sauce
油,あぶら,oil
消費,しょうひ,expense
枚,まい,flat item counter
緑茶,りょくちゃ,green tea
消費税,しょうひぜい,sales tax
紅茶,こうちゃ,black tea
箱,はこ,box
冊,さつ,book counter
割合,わりあい,ratio
利用,りよう,use
お支払い,おしはらい,payment
送信,そうしん,send (mail)
x倍,ばい,x times
割引,わりびき,discount
本店,ほんてん,main store
x割,わり,x tenths
支社,ししゃ,branch office
支,し,branch
告げる,つげる,to confess
格安,かくやす,super cheap
上級,じょうきゅう,advanced
性,せい,family name
三連休,さんれんきゅう,3 day weekend
記入,きにゅう,fill out
高齢,こうれい,old age
連れていく,つれていく,to bring (living)
性格,せいかく,personality
記事,きじ,newspaper article
届ける,とどける,to deliver
宅配便,たくはいびん,courier
受付,うけつけ,reception
明細,めいさい,in detail
細い,ほそい,thick
半額,はんがく,half off
望む,のぞむ,to hope
交換,こうかん,exchange
金額,きんがく,fee
値段,ねだん,price
両替,りょうがえ,currency exchange
上達,じょうたつ,progress
預ける,あずける,to care for
伺う,うかがう,to ask/visit
涙,なみだ,tears
記念,きねん,memory
届く,とどく,to be delivered
配る,くばる,to deliver
荷物,にもつ,luggage
配達,はいたつ,delivery
変換,へんかん,change
不在,ふざい,absence
衣類,いるい,clothes
帯,おび,belt
表,おもて,front
柔らかい,やわらかい,soft
裏,うら,back
煮る,にる,to boil
時間帯,じかんたい,timezone
勤める,つとめる,to work for
現在,げんざい,present
大型,おおがた,large size
汗,あせ,sweat
遅刻,ちこく,tardiness
失望,しつぼう,despair
記号,きごう,sign
周り,まわり,surroundings
SKIP,～たびに,every time ~
困難な,こんなんな,difficult
結局,けっきょく,after all
失敗,しっぱい,fail
感想,かんそう,impression
渋滞,じゅうたい,bad traffic
調査,ちょうさ,survey
予想,よそう,prediction
SKIP,かえって,however
調子,ちょうし,inner condition
様子,ようす,outer condition
頼む,たのむ,to request
大勢,おおぜい,lots of people
位置,いち,position
